Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C5, C6",0402,5,0.1uF,C60474
C10,0402,1,10nF,C60133
"C12, C3, C4, C8",0402,4,2.2uF,C12530
"C13, C14, C15",0402,3,18nF,C576736
C7,0402,1,1nF,C106205
C9,0402,1,4.7uF,C307423
FB1,0402,1,R-EU_R0402,C160612
L1,1206,1,1uH,C139248
"R1, R14, R15, R16, R2, R4, R5",0402,7,10k,C2906885
"R10, R6",0402,2,1k1,C25860
"R11, R12, R13",0402,3,560R,C2909370
"R17, R18, R19",0402,3,20k,C25545
R3,0402,1,1k,C2906899
R7,0402,1,2k2,C25933
"R8, R9",0402,2,3k3,C25936
REG1,DRY6,1,TPS62237DRYR,C398923
REG2,TDFN4_1P2X1P6_MCH,1,MIC94310-JYMT-TR,C622559
U1,VQFN-16-1EP_3x3mm_P0.5mm_EP1.1x1.1mm,1,TSV854IQ4T,C183029
"U2, U4",TSSOP-48_6.1x12.5mm_P0.5mm,2,74CB3T16210,C2674635
U3,BGA-169_11.0x11.0mm_Layout13x13_P0.8mm_Ball0.5mm_Pad0.4mm_NSMD,1,MAX10,C1521844
X1,ASE,1,50MHz,C7431354
